experiment,cost
HEPG2-08,1102.989224255085
HEPG2-09,1103.986673951149
HEPG2-10,1103.9856095910072
HEPG2-11,1101.9924780726433
HUVEC-17,1103.9858028888702
HUVEC-18,1102.9906599521637
HUVEC-19,1103.9851321578026
HUVEC-20,1103.984803378582
HUVEC-21,1103.9857129454613
HUVEC-22,1103.9855471253395
HUVEC-23,1095.0177302360535
HUVEC-24,1096.0141491889954
RPE-08,1103.9864711761475
RPE-09,1102.9891217947006
RPE-10,1103.9857458472252
RPE-11,1090.036054134369
U2OS-04,1103.9882581233978
U2OS-05,1093.0260058641434
